,cascade_root_id,cascade_id,time_bucket,depth,size,max_breadth,virality,strongly_cc,weakly_cc,size_of_scc,avg_cluster_coef,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
73,746688.0,73.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
74,754839.0,74.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
75,765054.0,75.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
76,777752.0,76.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
77,791290.0,77.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
78,810655.0,78.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
79,838559.0,79.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
80,886738.0,80.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
81,990611.0,81.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
82,1380949.0,82.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
83,3980381.0,83.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
84,4004661.0,84.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
85,4011503.0,85.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
86,4016102.0,86.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
87,4018553.0,87.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
88,4020664.0,88.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
89,4022513.0,89.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
90,4023625.0,90.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
91,4024736.0,91.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
92,4025847.0,92.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
93,4026958.0,93.0,4034725.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
